id,area,Y,M,O,total
2104108,44.506264079691704,3409,10404,5362,19175
21042,49.4455711580857,5911,12030,3744,21685
21043_AM,156.22630734502,842,2777,1478,5097
21044,128.149312077568,4513,17045,6280,27838
21049_AM,400.588186118094,2183,5386,2767,10336
21050,203.749058937068,4390,10721,6672,21783
21052_AM,100.243101189408,886,3073,1874,5833
21053_AM,296.33164086576096,1127,3717,1817,6661
21054,60.5143414643422,1820,7130,2369,11319
21055,49.3316755262858,3380,6446,1754,11580
21056_AM,394.725757830175,1460,3477,1507,6444
21058_AM,697.448569199862,1431,3115,1262,5808
21060,38.8629556141262,3069,7577,5166,15812
21061,72.07106561601191,922,3530,3585,8037
21064,45.4345570404392,2338,4762,2104,9204
21069_AM,819.4839332599929,1332,3837,1591,6760
21070,118.366893037958,1047,4810,2566,8423
21072,219.012489945353,2104,6675,4707,13486
21074_AM,102.269658577335,1218,3443,1104,5765
21076_AM,678.5273794119739,897,2654,1677,5228
22017_AM,685.353708635467,800,2404,1185,4389
22021_AM,484.5087129939339,1013,2962,1380,5355
22039_AM,1313.71576404749,1205,3370,1944,6519
22048,107.660738663105,4076,10299,3910,18285
22053_AM,1036.06771246992,1032,2906,1387,5325
22054_AM,1547.45762836853,1605,3247,990,5842
22060_AM,307.041632972963,1081,2829,1400,5310
22061,25.1041449155173,1811,4926,3255,9992
22084_AM,1413.72451253006,968,2505,1052,4525
22112_AM,495.202429084976,3072,9221,5290,17583
22116_AM,593.266280251956,931,2600,1264,4795
22117_AM,519.290054600424,1060,2925,1587,5572
2212501,0.253639122837015,592,2042,1110,3744
2212502,2.01476970006676,1360,4689,2550,8599
2212503,19.9227553555258,2042,6629,3627,12298
2212504,54.862187024202896,997,3436,1839,6272
2212505,73.3648731280981,638,2074,1117,3829
2212506,0.253909000857257,676,2331,1268,4275
2212507,10.103568943674,1064,3608,1974,6646
2212508,0.3547055275847089,671,2314,1258,4243
22130,406.491419676083,1943,6895,4796,13634
22137_AM,750.3915495186569,938,2631,1292,4861
22158,155.146331984367,3174,8056,6033,17263
22199,587.319344109981,1453,5727,2387,9567
22204_AM,894.314564736659,842,2598,1501,4941
22213_AM,450.3928267523981,832,2491,1651,4974
22225_AM,325.337596042798,1487,4166,1630,7283
22228_AM,893.386712618319,864,2586,1272,4722
22254_AM,516.627145647713,806,2208,1250,4264
22901_AM,1230.9055200776,785,2281,1119,4185
22907_AM,740.949802419427,1044,2809,1288,5141
23002,261.793804767761,2467,12797,6688,21952
23003,237.186402742939,1713,6913,2722,11348
23005,966.432562234717,8039,18703,11054,37796
23006_AM,232.595715015227,2358,6319,3137,11814
23009,193.076766093405,2109,7332,5971,15412
23010,117.29581390004,4040,10444,4072,18556
23012_AM,386.111781943329,1310,3688,2261,7259
23014_AM,123.079051100853,1526,4144,1490,7160
23018_AM,297.656655069053,1495,3447,1380,6322
23024,201.59814112234,2877,9371,3322,15570
23025_AM,606.236273729739,1266,3577,1630,6473
23026_AM,156.854884829708,1659,4066,1760,7485
23028,305.886015130774,2115,4686,1093,7894
23038,38.6370404160194,945,2859,1439,5243
23039_AM,548.04601377325,1537,3576,1685,6798
23044_AM,438.082898670987,1441,4161,2568,8170
2305001,69.2812466418646,1328,4400,3350,9078
2305002,33.8202236041572,1228,4095,3096,8419
2305003,98.747542700856,2456,8047,5985,16488
2305004,87.2823609244403,3338,11191,8639,23168
2305005,105.412925728413,3880,12835,9735,26450
2305006,6.17370061383132,1020,3437,2685,7142
2305007_AD,0.37487458635429,1268,4274,3339,8881
2305009,23.7659885806126,1064,3565,2769,7398
23053,149.00618376097802,1887,6433,2859,11179
2305501_AD,189.972722150413,3073,8732,3770,15575
2305502_AD,2.70468328818323,2374,6775,2940,12089
2305504,2.17860560585223,2559,7304,3169,13032
2305505,0.769993781695078,1185,3383,1468,6036
2305506,0.540243699156581,1194,3408,1478,6080
2305507,0.8207059771948051,1121,3200,1388,5709
